Time (s),Device ID,Source Cell ID,Destination Cell ID
720s,69,6,6
720s,81,4,4
721s,5,18,18
721s,39,2,2
721s,82,19,19
722s,11,3,3
722s,17,17,17
722s,56,15,15
722s,73,14,14
723s,0,11,11
723s,16,19,19
723s,17,2,2
723s,56,6,6
724s,17,17,17
724s,63,7,7
725s,93,10,10
726s,0,12,12
726s,5,19,19
727s,17,2,2
728s,11,1,1
729s,52,10,10
729s,56,15,15
730s,52,14,14
730s,63,4,4
730s,75,17,17
731s,5,18,18
731s,75,6,6
731s,82,14,14
731s,99,7,7
732s,50,4,4
732s,63,9,9
732s,72,5,5
733s,11,3,3
733s,63,4,4
733s,73,19,19
734s,45,15,15
734s,75,17,17
734s,99,10,10
735s,70,14,14
735s,73,14,14
737s,17,17,17
738s,52,10,10
738s,72,3,3
740s,88,6,6
741s,33,19,19
741s,45,9,9
741s,68,12,12
741s,73,19,19
741s,85,5,5
742s,9,6,6
742s,10,15,15
742s,72,5,5
743s,10,14,14
743s,92,14,14
744s,9,5,5
744s,56,6,6
744s,81,2,2
745s,9,1,1
745s,43,7,7
745s,59,6,6
745s,72,13,13
746s,56,15,15
746s,75,6,6
748s,59,1,1
748s,72,3,3
748s,85,14,14
749s,38,18,18
749s,43,4,4
749s,46,19,19
749s,55,7,7
749s,99,7,7
750s,28,16,16
751s,72,13,13
751s,92,18,18
752s,19,18,18
752s,55,11,11
752s,70,15,15
753s,38,19,19
753s,72,3,3
753s,75,2,2
754s,24,15,15
754s,70,14,14
754s,93,18,18
755s,14,2,2
755s,52,14,14
756s,14,18,18
756s,46,13,13
756s,50,8,8
757s,8,6,6
757s,29,14,14
758s,28,8,8
758s,85,5,5
759s,46,19,19
759s,70,15,15
760s,14,2,2
760s,52,10,10
760s,81,19,19
760s,92,14,14
760s,93,10,10
762s,17,18,18
762s,52,14,14
762s,55,3,3
763s,3,14,14
763s,46,13,13
764s,90,2,2
765s,60,3,3
766s,15,14,14
766s,85,14,14
766s,87,19,19
767s,59,6,6
767s,81,2,2
767s,85,5,5
768s,85,14,14
769s,36,7,7
769s,46,19,19
770s,35,9,9
770s,59,1,1
771s,7,7,7
771s,11,1,1
772s,85,5,5
773s,4,11,11
773s,68,11,11
773s,73,18,18
774s,32,8,8
774s,46,13,13
774s,87,14,14
775s,4,17,17
776s,68,12,12
776s,71,11,11
777s,36,11,11
778s,86,13,13
779s,35,7,7
779s,59,2,2
779s,71,7,7
780s,36,7,7
780s,59,6,6
780s,75,17,17
781s,3,10,10
781s,8,2,2
782s,69,1,1
783s,43,7,7
783s,78,14,14
783s,90,17,17
784s,29,13,13
784s,56,6,6
785s,62,8,8
786s,62,16,16
787s,46,19,19
787s,62,8,8
787s,79,6,6
788s,11,7,7
788s,68,17,17
789s,8,6,6
789s,52,10,10
789s,71,10,10
790s,59,1,1
791s,32,4,4
792s,67,16,16
792s,90,2,2
793s,29,14,14
793s,36,11,11
794s,50,9,9
794s,68,12,12
795s,11,1,1
795s,50,8,8
797s,7,11,11
797s,29,13,13
798s,69,6,6
799s,7,7,7
799s,36,7,7
800s,75,2,2
801s,67,15,15
801s,69,1,1
802s,7,11,11
802s,29,19,19
804s,5,19,19
805s,50,9,9
805s,68,11,11
806s,5,18,18
806s,90,17,17
807s,5,19,19
807s,16,4,4
807s,51,16,16
807s,55,7,7
808s,62,16,16
809s,41,19,19
809s,88,16,16
810s,41,14,14
811s,3,14,14
812s,24,5,5
812s,55,3,3
812s,68,12,12
