Time (s),Device ID,Source Cell ID,Destination Cell ID
403s,60,3,3
404s,26,12,12
404s,34,15,15
404s,49,12,12
404s,80,2,2
405s,65,4,4
405s,98,19,19
409s,19,19,19
409s,29,19,19
409s,46,12,12
410s,23,10,10
410s,31,9,9
410s,44,10,10
410s,88,9,9
411s,26,17,17
412s,76,8,8
413s,21,6,6
413s,43,4,4
413s,66,9,9
414s,43,7,7
414s,96,2,2
415s,66,7,7
416s,16,19,19
416s,20,11,11
416s,21,5,5
416s,43,4,4
417s,66,9,9
418s,8,1,1
419s,44,15,15
420s,11,1,1
420s,23,18,18
420s,26,16,16
422s,13,13,13
422s,20,10,10
422s,92,10,10
423s,61,4,4
424s,20,11,11
424s,61,9,9
424s,99,9,9
425s,1,13,13
425s,87,18,18
425s,88,16,16
426s,43,1,1
426s,94,4,4
427s,13,3,3
428s,75,5,5
429s,34,9,9
429s,99,7,7
430s,1,12,12
430s,11,5,5
430s,23,11,11
431s,21,1,1
431s,43,4,4
431s,61,4,4
431s,88,9,9
432s,23,10,10
432s,80,1,1
432s,84,11,11
433s,88,16,16
434s,1,13,13
434s,26,17,17
434s,74,1,1
435s,13,12,12
435s,85,5,5
436s,34,15,15
